question,item,count,percent
Information scarcity,Never,3,5.0
Information scarcity,Sometimes,32,53.3
Information scarcity,Often,16,26.7
Information scarcity,Always,9,15.0
Centralised information value,Neutral,5,8.3
Centralised information value,Somewhat meaningful,20,33.3
Centralised information value,Highly meaningful,35,58.3
Anonymous questioning preference,No,2,3.3
Anonymous questioning preference,Neutral,21,35.0
Anonymous questioning preference,Yes,37,61.7
Casual commenting habit,No,25,41.7
Casual commenting habit,Sometimes / depends,30,50.0
Casual commenting habit,Yes,5,8.3
